id,name,region,category,address,lon,lat,rating,imageUrl,memo
2027,르플뢰브,용산/이태원/한남,카페,"서울 용산구 원효로1길 20 (청암동)",126.94580004,37.53527695,0,https://via.placeholder.com/150,NULL
2028,트라아트,강남,카페,"서울 강남구 언주로165길 13 지하1층, 1층 (신사동)",127.03213981,37.52578125,0,https://via.placeholder.com/150,NULL
2029,"본다빈치뮤지엄 서울숲",건대/성수/왕십리,카페,"서울 성동구 서울숲2길 32-14 갤러리아포레 G층 (성수동1가)",127.04242549,37.54581266,0,https://via.placeholder.com/150,NULL
2030,드로우지,용산/이태원/한남,카페,"서울 용산구 회나무로 83 (이태원동)",126.99554183,37.54098543,0,https://via.placeholder.com/150,NULL
2031,버터앤쉘터,강남,카페,"서울 강남구 학동로 513 진흥상가 107호 (청담동)",127.0529171,37.5195118,0,https://via.placeholder.com/150,NULL
2032,카페희희,구로/관악/동작,카페,"서울 동작구 성대로 52 (상도동)",126.93373422,37.49848373,0,https://via.placeholder.com/150,NULL
2033,루307,강남,한식,"서울 강남구 압구정로10길 30-7 1층 (신사동)",127.02155214,37.52193097,0,https://via.placeholder.com/150,NULL
2034,빌라레코드,강남,카페,"서울 강남구 도산대로15길 18 지하 2층 (신사동)",127.02402195,37.51946715,0,https://via.placeholder.com/150,NULL
2035,"리틀넥 청담",강남,한식,"서울 강남구 도산대로51길 17 1층 (신사동)",127.03776592,37.52421545,0,https://via.placeholder.com/150,NULL
2036,퍼블릭갤러리,강남,카페,"서울 강남구 도곡로1길 10 (역삼동)",127.03246169,37.4905771,0,https://via.placeholder.com/150,NULL
2037,마이아트뮤지엄,강남,카페,"서울 강남구 테헤란로 518 섬유센터빌딩 지하 1층 (대치동)",127.06057693,37.50758784,0,https://via.placeholder.com/150,NULL
2038,"무슈부부커피스탠드 망원점",홍대/합정/마포,카페,"서울 마포구 망원로 13 1층 (망원동)",126.89833547,37.55612357,0,https://via.placeholder.com/150,NULL
2039,"무슈부부 커피스탠드 합정점 (휴업중)",홍대/합정/마포,카페,"서울 마포구 양화로3길 77-10 (합정동)",126.91032496,37.55251128,0,https://via.placeholder.com/150,NULL
2040,TXT커피,종로/중구,카페,"서울 종로구 창덕궁길 121 (원서동)",126.98903627,37.58286153,0,https://via.placeholder.com/150,NULL
2041,갓생기획실,건대/성수/왕십리,카페,"서울 성동구 서울숲2길 42 (성수동1가)",127.04314096,37.54633498,0,https://via.placeholder.com/150,NULL
2042,타임애프터타임,건대/성수/왕십리,카페,"서울 성동구 연무장길 28-16 1층 (성수동2가)",127.05223552,37.5429886,0,https://via.placeholder.com/150,NULL
2043,OUDO,건대/성수/왕십리,카페,"서울 성동구 성수일로 55 (성수동1가)",127.04977938,37.54535478,0,https://via.placeholder.com/150,NULL
2044,텅플래닛,건대/성수/왕십리,카페,"서울 성동구 성수이로 82 2층 (성수동2가)",127.05654276,37.54226041,0,https://via.placeholder.com/150,NULL
2045,"크리스찬 디올 성수",건대/성수/왕십리,카페,"서울 성동구 연무장5길 7 (성수동2가)",127.05246482,37.54402825,0,https://via.placeholder.com/150,NULL
